# s0,s1,s2,s3,s4,s5,s6,s7,s8
2.864730730652809143e-02,5.818623304367065430e-02,4.863092899322509766e-01,4.116554856300354004e-01,2.557747066020965576e-01,-5.838932991027832031e-01,-2.039812803268432617e-01,-6.423164159059524536e-02,1.660077571868896484e+00
2.751720324158668518e-02,5.773651599884033203e-02,4.943355023860931396e-01,3.829189240932464600e-01,2.414187043905258179e-01,-6.029953360557556152e-01,-2.260210663080215454e-01,-8.994302153587341309e-02,1.605242252349853516e+00
2.626982145011425018e-02,5.717668682336807251e-02,5.020564198493957520e-01,3.538465201854705811e-01,2.266820371150970459e-01,-6.208785176277160645e-01,-2.494761496782302856e-01,-1.119659543037414551e-01,1.544186830520629883e+00
2.493104897439479828e-02,5.648807808756828308e-02,5.094739794731140137e-01,3.248622417449951172e-01,2.110746502876281738e-01,-6.377749443054199219e-01,-2.677544653415679932e-01,-1.377218663692474365e-01,1.483507513999938965e+00
2.352955192327499390e-02,5.565897375345230103e-02,5.165904760360717773e-01,2.963041067123413086e-01,1.940154880285263062e-01,-6.540799736976623535e-01,-2.802996933460235596e-01,-1.658209711313247681e-01,1.423301577568054199e+00
2.207245491445064545e-02,5.469890683889389038e-02,5.234103202819824219e-01,2.682228088378906250e-01,1.755017042160034180e-01,-6.698842048645019531e-01,-2.914194464683532715e-01,-1.920137107372283936e-01,1.363962769508361816e+00
2.055981568992137909e-02,5.362094566226005554e-02,5.299294590950012207e-01,2.406109422445297241e-01,1.556676179170608521e-01,-6.850497722625732422e-01,-3.025277853012084961e-01,-2.155917733907699585e-01,1.303827285766601562e+00
1.910146698355674744e-02,5.259415879845619202e-02,5.360435247421264648e-01,2.236790060997009277e-01,1.249262839555740356e-01,-6.948296427726745605e-01,-2.916694581508636475e-01,-2.053573578596115112e-01,1.222820639610290527e+00
1.748769730329513550e-02,5.132961273193359375e-02,5.419852733612060547e-01,1.971721053123474121e-01,1.031210124492645264e-01,-7.086185812950134277e-01,-3.227542340755462646e-01,-2.529090344905853271e-01,1.188351392745971680e+00
1.576436497271060944e-02,4.993313178420066833e-02,5.476523041725158691e-01,1.675003767013549805e-01,8.404679596424102783e-02,-7.227250933647155762e-01,-3.446662724018096924e-01,-2.792963981628417969e-01,1.133401513099670410e+00
1.396718528121709824e-02,4.844737425446510315e-02,5.529946684837341309e-01,1.398633569478988647e-01,6.360881775617599487e-02,-7.349966168403625488e-01,-3.594360053539276123e-01,-2.971513569355010986e-01,1.068477272987365723e+00
1.210542302578687668e-02,4.687912762165069580e-02,5.580136179924011230e-01,1.141560971736907959e-01,4.191346466541290283e-02,-7.457254528999328613e-01,-3.723525106906890869e-01,-3.136496245861053467e-01,1.003779292106628418e+00
1.051975134760141373e-02,4.539579153060913086e-02,5.625849366188049316e-01,9.997478872537612915e-02,3.674950916320085526e-03,-7.544580101966857910e-01,-3.171342909336090088e-01,-2.966673374176025391e-01,9.142702221870422363e-01
8.667755872011184692e-03,4.367425292730331421e-02,5.669775605201721191e-01,7.787378877401351929e-02,-2.389433979988098145e-02,-7.636795639991760254e-01,-3.703991472721099854e-01,-3.443077802658081055e-01,8.785248398780822754e-01
6.692716851830482483e-03,4.179790988564491272e-02,5.711563229560852051e-01,5.102441087365150452e-02,-4.711066186428070068e-02,-7.742595076560974121e-01,-3.950077593326568604e-01,-3.752684295177459717e-01,8.357548713684082031e-01
4.618769045919179916e-03,3.980939090251922607e-02,5.749800205230712891e-01,2.185033075511455536e-02,-6.904045492410659790e-02,-7.834013700485229492e-01,-4.147895276546478271e-01,-3.977038264274597168e-01,7.647363543510437012e-01
2.708114217966794968e-03,3.796340152621269226e-02,5.784158110618591309e-01,1.051108352839946747e-02,-1.045379042625427246e-01,-7.892506122589111328e-01,-3.821309804916381836e-01,-3.691974878311157227e-01,6.871575713157653809e-01
8.638772414997220039e-04,3.597155958414077759e-02,5.814574956893920898e-01,-1.008573733270168304e-02,-1.385959535837173462e-01,-7.926384806632995605e-01,-3.688474297523498535e-01,-3.983682990074157715e-01,6.083374619483947754e-01
-1.173904980532824993e-03,3.385276719927787781e-02,5.842705368995666504e-01,-3.182267397642135620e-02,-1.666822284460067749e-01,-7.965719699859619141e-01,-4.075564146041870117e-01,-4.237589836120605469e-01,5.626033544540405273e-01
-3.350852290168404579e-03,3.165563568472862244e-02,5.867677927017211914e-01,-5.499900132417678833e-02,-1.917934715747833252e-01,-7.998281121253967285e-01,-4.353894591331481934e-01,-4.394257664680480957e-01,4.994558691978454590e-01
-5.641861818730831146e-03,2.938559278845787048e-02,5.888929367065429688e-01,-7.978747040033340454e-02,-2.144696563482284546e-01,-8.015515208244323730e-01,-4.582019448280334473e-01,-4.540089964866638184e-01,4.250298142433166504e-01
-7.786831818521022797e-03,2.724333293735980988e-02,5.907199978828430176e-01,-8.671138435602188110e-02,-2.475731968879699707e-01,-8.024284839630126953e-01,-4.289939403533935547e-01,-4.284520149230957031e-01,3.654138147830963135e-01
-9.964128024876117706e-03,2.489082515239715576e-02,5.922210216522216797e-01,-1.064502596855163574e-01,-2.773984074592590332e-01,-8.013420104980468750e-01,-4.354591667652130127e-01,-4.705016314983367920e-01,3.001979291439056396e-01
-1.218726392835378647e-02,2.244409359991550446e-02,5.933617353439331055e-01,-1.309010982513427734e-01,-3.047588467597961426e-01,-7.978903055191040039e-01,-4.446272253990173340e-01,-4.893460571765899658e-01,2.281438559293746948e-01
-1.445201970636844635e-02,2.003529295325279236e-02,5.941359996795654297e-01,-1.487175822257995605e-01,-3.298148512840270996e-01,-7.937861084938049316e-01,-4.529512226581573486e-01,-4.817602932453155518e-01,1.548530161380767822e-01
-1.648247614502906799e-02,1.758315227925777435e-02,5.948019027709960938e-01,-1.564194709062576294e-01,-3.650755286216735840e-01,-7.905936241149902344e-01,-4.060912132263183594e-01,-4.904281795024871826e-01,1.331861466169357300e-01
-1.865749806165695190e-02,1.511914189904928207e-02,5.950732231140136719e-01,-1.634571403264999390e-01,-3.956771194934844971e-01,-7.860668301582336426e-01,-4.350042343139648438e-01,-4.928019344806671143e-01,5.425846204161643982e-02
-2.087599970400333405e-02,1.249379757791757584e-02,5.949926972389221191e-01,-1.806342154741287231e-01,-4.241161942481994629e-01,-7.775741219520568848e-01,-4.437004625797271729e-01,-5.250689387321472168e-01,-1.610459387302398682e-02
-2.303996309638023376e-02,9.805731475353240967e-03,5.946179032325744629e-01,-1.964489072561264038e-01,-4.540756940841674805e-01,-7.672247290611267090e-01,-4.327927231788635254e-01,-5.376130938529968262e-01,-7.495471090078353882e-02
-2.530915103852748871e-02,7.170368451625108719e-03,5.938519239425659180e-01,-2.087497115135192871e-01,-4.806377291679382324e-01,-7.570313811302185059e-01,-4.538375437259674072e-01,-5.270726680755615234e-01,-1.531940847635269165e-01
-2.744312398135662079e-02,4.628108348697423935e-03,5.929723978042602539e-01,-2.047581374645233154e-01,-5.134245753288269043e-01,-7.493148446083068848e-01,-4.267947077751159668e-01,-5.084519982337951660e-01,-1.759035587310791016e-01
-2.964997850358486176e-02,1.840067794546484947e-03,5.917155146598815918e-01,-2.136398106813430786e-01,-5.433518886566162109e-01,-7.362440824508666992e-01,-4.413708150386810303e-01,-5.576081275939941406e-01,-2.513765394687652588e-01
